team,teamalias
"ARI","arizona"
"ARI","diamondbacks"
"ARI","arz"
"ATL","braves"
"ATL","atlanta"
"BAL","baltimore"
"BAL","orioles"
"BOS","boston"
"BOS","redsox"
"BOS","bosox"
"CHC","cubs"
"CHC","chicubs"
"CIN","cincinnati"
"CIN","reds"
"CLE","cleveland"
"CLE","indians"
"COL","colorado"
"COL","rockies"
"CWS","whitesox"
"CWS","chw"
"DET","tigers"
"DET","detroit"
"HOU","houston"
"HOU","astros"
"KC","KCR"
"KC","kan"
"KC","royals"
"LAA","angels"
"LAD","dodgers"
"MIA","miami"
"MIA","marlins"
"MIL","brewers"
"MIL","milwaukee"
"MIN","minnesota"
"MIN","twins"
"NYM","mets"
"NYY","yankees"
"NYY","evilempire"
"OAK","oakland"
"OAK","athletics"
"PHI","philadelphia"
"PHI","phillies"
"PIT","pittsburgh"
"PIT","pirates"
"SD","SDG"
"SD","SDP"
"SD","sandiego"
"SD","padres"
"SEA","seattle"
"SEA","mariners"
"SF","sfg"
"SF","sfo"
"SF","giants"
"STL","stlouis"
"STL","cardinals"
"TB","tamponbay"
"TB","tbr"
"TB","rays"
"TEX","texas"
"TEX","rangers"
"TOR","toronto"
"TOR","bluejays"
"TOR","jays"
"WSH","was"
"WSH","washington"
"WSH","nationals"
"WSH","nats"
"WSH","expos"
